,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,88,9.2,0.17,0.0188,9.03,9.03,9.28,0.0,26.45,3.6,9.03,8.11,9.25,10.19,9.32,9.71,9.9,11.73,9.33,9.65,10.19,11.74,DOWNTREND,DOWNTREND,SIDEWAYS,44.7607,-0.2351,0.0374,NEUTRAL,-36.407,34.3109,-45.4545,36550.0,37786.67,48705.0,331610.3,342960.53,456114.65,White Long Day,Tweezer Bottoms,None,-0.3834,-0.0496,0.011000000000000001,0.0,0.0,53098.0,873071.0,2029786.0,0.01,-0.5,920.0,0.0,6.92,0.0,2019-10-22
1,91,8.98,0.31,0.0358,9.0,8.98,9.0,0.0,23.0,8.0,8.66,8.11,9.15,9.74,9.0,9.17,9.55,10.72,8.99,9.21,9.68,11.06,DOWNTREND,SIDEWAYS,DOWNTREND,48.2998,-0.0879,0.028999999999999998,LOW,5.9125,26.0686,-36.0,20450.0,27013.33,27605.0,180592.3,239678.0,246350.45,Black Marubozu,None,Three Black Crows,-0.3981,0.0275,0.0275,13110.0,13110.0,13110.0,66208.0,1930809.0,-0.01,-1.3333,-898.0,0.0,6.91,0.0,2019-12-03
2,90,8.88,0.06,0.0068,8.8,8.8,9.1,0.0,26.45,4.2,8.81,8.11,9.07,9.74,9.08,9.44,9.65,11.0,9.06,9.32,9.82,11.26,DOWNTREND,DOWNTREND,SIDEWAYS,42.2262,-0.1173,0.0258,LOW,-105.3628,0.0,-84.3137,34460.0,32413.33,55795.0,309106.0,291396.87,511743.45,Inverted Hammer,Bullish Engulfing,None,-0.4048,-0.0155,-0.0078,0.0,0.0,0.0,566960.0,1871795.0,-0.01,-1.3333,-888.0,0.0,6.83,0.0,2019-11-20
3,91,8.56,-0.04,-0.0047,8.58,8.56,8.58,0.0,23.0,8.0,8.11,5.12,9.0,9.31,8.91,9.07,9.51,10.59,8.89,9.14,9.6,10.97,DOWNTREND,SIDEWAYS,DOWNTREND,38.1547,-0.0966,0.0303,NEUTRAL,-200.6829,0.0,-100.0,21110.0,22306.67,25805.0,185003.7,196065.0,228350.35,Black Marubozu,None,None,-0.4263,-0.0206,-0.0047,3786.0,16896.0,16896.0,18576.0,2189707.0,-0.01,-1.3333,-856.0,0.0,6.58,0.0,2019-12-09
4,87,9.82,-0.13,-0.0131,9.95,9.8,9.95,0.0,26.45,3.6,9.79,8.11,10.48,14.41,9.71,9.85,10.29,12.29,9.84,9.98,10.71,12.53,UPTREND,SIDEWAYS,DOWNTREND,49.8216,0.0175,0.08900000000000001,HIGH,5.6022,22.2353,-78.5882,1550380.0,1042100.0,786695.0,20159855.7,13515821.27,10185792.95,Black Long Day,Bearish Engulfing,None,-0.3418,-0.0373,-0.0373,48162.0,878080.0,819973.0,804603.0,2220908.0,0.01,-0.5,982.0,0.0,7.38,0.0,2019-09-06
5,87,9.5,-0.1,-0.0104,9.32,9.3,9.5,0.0,26.45,3.6,9.32,8.11,9.85,11.95,10.13,9.9,10.1,12.28,9.92,10.02,10.52,12.11,DOWNTREND,SIDEWAYS,SIDEWAYS,43.3819,-0.0204,0.055999999999999994,HIGH,-131.149,11.929,-84.6154,64180.0,101953.33,317810.0,632496.5,1034631.53,3553773.05,White Long Day,Bullish Harami,None,-0.3633,-0.0186,-0.0306,-29100.0,2756.0,931178.0,873071.0,1895026.0,0.01,-0.5,950.0,0.0,7.14,0.0,2019-10-03
6,91,8.67,-0.07,-0.008,8.71,8.66,8.71,0.0,23.0,8.0,8.66,8.11,9.16,9.74,9.0,9.19,9.56,10.75,8.99,9.22,9.69,11.08,DOWNTREND,SIDEWAYS,SIDEWAYS,37.8879,-0.0891,0.0294,LOW,-197.0691,33.2074,-98.0392,25410.0,29040.0,29025.0,224281.3,257923.0,259188.4,Black Long Day,None,None,-0.4189,-0.008,-0.008,13110.0,13110.0,13110.0,66208.0,1930809.0,-0.01,-1.3333,-867.0,0.0,6.67,0.0,2019-12-02
7,90,8.83,-0.05,-0.0056,8.88,8.83,8.88,0.0,26.45,4.35,8.81,8.11,9.04,9.56,9.04,9.39,9.63,10.97,9.04,9.3,9.8,11.24,DOWNTREND,DOWNTREND,SIDEWAYS,40.9167,-0.1195,0.0245,LOW,-149.2398,8.4967,-94.1176,34510.0,34140.0,44235.0,308467.8,306500.53,400890.15,Black Marubozu,Bearish Harami,None,-0.4082,-0.0211,-0.0134,0.0,0.0,0.0,209904.0,1871795.0,-0.01,-1.3333,-883.0,0.0,6.79,0.0,2019-11-21
8,91,7.85,0.07,0.009000000000000001,7.75,7.75,7.85,0.0,21.8,7.75,7.76,5.12,8.18,9.16,8.48,8.83,9.33,10.24,8.35,8.78,9.33,10.7,DOWNTREND,DOWNTREND,DOWNTREND,33.6243,-0.2473,0.0352,NEUTRAL,-122.2885,7.8020000000000005,-92.0,15550.0,15733.33,18330.0,125566.7,130255.27,155285.2,White Marubozu,None,None,-0.4739,-0.1018,0.009000000000000001,16000.0,32146.0,45256.0,16156.0,2210467.0,-0.01,-1.3333,-785.0,0.0,6.04,0.0,2019-12-23
9,87,9.92,-0.05,-0.005,9.95,9.9,10.24,0.0,26.45,3.6,9.91,8.11,10.46,13.96,10.26,9.94,10.22,12.57,10.17,10.12,10.64,12.29,UPTREND,UPTREND,SIDEWAYS,47.309,0.1361,0.0684,HIGH,-67.8471,9.2442,-95.5224,492860.0,405773.33,856020.0,5643184.6,4566042.73,10928340.5,None,None,None,-0.3351,-0.0275,-0.0294,0.0,67288.0,960278.0,891991.0,2036626.0,0.01,-0.5,992.0,0.0,7.46,0.0,2019-09-24
10,91,8.74,-0.39,-0.0427,9.15,8.68,9.15,13110.0,23.7,8.0,8.71,8.11,9.16,9.74,9.02,9.22,9.57,10.78,9.03,9.24,9.71,11.11,DOWNTREND,SIDEWAYS,SIDEWAYS,39.5583,-0.08800000000000001,0.0307,NEUTRAL,-109.3163,57.5539,-87.7551,26130.0,29286.67,31390.0,231077.9,260682.53,280966.25,Black Long Day,Bearish Engulfing,None,-0.4142,-0.031,-0.0289,13110.0,13110.0,13110.0,66208.0,1919925.0,-0.01,-1.3333,-874.0,0.0,6.72,0.0,2019-11-29
11,87,10.3,-0.28,-0.0265,10.52,10.26,10.52,0.0,26.45,3.6,10.11,8.11,11.95,14.41,10.05,9.91,10.31,12.44,10.2,10.12,10.7,12.42,UPTREND,SIDEWAYS,DOWNTREND,51.6066,0.1555,0.0835,HIGH,16.8475,21.022,-91.9881,544740.0,1370120.0,1036375.0,6192079.7,17311495.53,13059608.75,Black Long Day,None,Three Black Crows,-0.3097,0.0098,-0.0265,51418.0,929498.0,890671.0,861211.0,1964121.0,0.01,-0.5,1030.0,0.0,7.74,0.0,2019-09-16
12,88,9.05,0.01,0.0011,9.04,9.04,9.3,0.0,26.45,3.6,8.92,8.11,9.3,10.46,9.52,9.77,9.96,11.86,9.44,9.74,10.28,11.85,DOWNTREND,SIDEWAYS,SIDEWAYS,40.4128,-0.2239,0.043,NEUTRAL,-65.2136,22.8534,-80.1887,45010.0,53866.67,69325.0,408008.1,504075.67,672443.45,Inverted Hammer,Bullish Harami,None,-0.3934,-0.0651,-0.0206,0.0,-29100.0,38188.0,873071.0,2006621.0,0.01,-0.5,905.0,0.0,6.8,0.0,2019-10-16
13,87,10.78,-1.54,-0.125,13.98,10.7,16.5,357056.0,26.45,3.6,8.11,4.56,14.41,15.0,9.67,9.88,10.39,12.25,9.74,9.98,10.82,12.71,DOWNTREND,SIDEWAYS,DOWNTREND,56.8988,-0.1464,0.0992,HIGH,350.2354,47.4237,-67.2941,1370610.0,922973.33,698240.0,18289220.3,12283802.0,9271980.05,None,None,None,-0.2775,0.1091,0.3114,721274.0,721274.0,663167.0,647797.0,2524162.0,0.01,-0.5,1078.0,0.0,8.11,0.0,2019-08-28
14,87,9.68,-0.12,-0.0122,9.9,9.68,9.9,-29100.0,26.45,3.6,9.34,8.11,10.21,11.95,10.19,9.94,10.14,12.42,10.07,10.09,10.58,12.19,DOWNTREND,SIDEWAYS,SIDEWAYS,44.5434,0.0617,0.059000000000000004,HIGH,-111.1718,1.9737,-100.0,109390.0,381500.0,327065.0,1104322.7,4305679.8,3648201.2,Black Marubozu,None,None,-0.3512,-0.051,-0.0122,-29100.0,53098.0,931178.0,873071.0,2094861.0,0.01,-0.5,968.0,0.0,7.28,0.0,2019-09-30
15,91,8.55,-0.01,-0.0012,8.55,8.31,8.55,0.0,23.0,8.0,8.43,8.11,9.0,9.31,8.88,9.05,9.49,10.55,8.86,9.11,9.58,10.95,DOWNTREND,SIDEWAYS,DOWNTREND,37.9256,-0.1044,0.0302,NEUTRAL,-209.643,0.0,-71.7647,20000.0,19620.0,24750.0,174260.4,172070.6,218515.3,Dragonfly Doji,None,None,-0.4269,-0.0217,-0.0058,3786.0,16896.0,16896.0,18576.0,2189707.0,-0.01,-1.3333,-855.0,0.0,6.58,0.0,2019-12-10
16,87,10.04,-0.74,-0.0686,10.6,10.04,11.36,103930.0,26.45,3.6,8.11,4.68,14.41,15.0,9.69,9.88,10.37,12.25,9.77,9.99,10.81,12.69,DOWNTREND,SIDEWAYS,DOWNTREND,51.6949,-0.1072,0.1083,HIGH,80.6031,52.2353,-76.0,1456290.0,980833.33,742620.0,19199119.6,12896568.4,9741490.6,None,None,None,-0.3271,0.0329,0.2214,825204.0,825204.0,767097.0,751727.0,2629822.0,0.01,-0.5,1004.0,0.0,7.55,0.0,2019-08-29
17,89,9.05,0.04,0.0044,9.0,9.0,9.1,0.0,26.45,3.6,9.0,8.11,9.18,9.74,9.12,9.66,9.77,11.37,9.19,9.48,10.0,11.5,SIDEWAYS,DOWNTREND,SIDEWAYS,44.4938,-0.1613,0.0308,NEUTRAL,-66.9825,8.75,-93.75,77130.0,60466.67,56840.0,714380.9,558598.33,522995.6,None,Tweezer Bottoms,None,-0.3934,0.0033,0.0033,0.0,0.0,-29100.0,931178.0,2052031.0,0.01,-0.5,905.0,0.0,6.8,0.0,2019-11-06
18,91,8.2,0.2,0.025,8.2,8.2,8.45,0.0,21.8,8.0,8.0,4.56,8.78,9.16,8.79,8.99,9.45,10.48,8.72,9.04,9.53,10.89,DOWNTREND,SIDEWAYS,DOWNTREND,34.6857,-0.139,0.0371,NEUTRAL,-182.201,0.0,-82.7586,22590.0,18880.0,22265.0,194289.8,163794.07,194640.6,Gravestone Doji,None,None,-0.4504,-0.0618,-0.0465,20706.0,22086.0,22086.0,-7014.0,2187297.0,-0.01,-1.3333,-820.0,0.0,6.31,0.0,2019-12-12
19,87,9.9,0.0,0.0,9.9,9.9,10.5,0.0,26.45,3.6,9.83,8.11,10.78,14.41,9.71,9.86,10.3,12.26,9.83,9.98,10.74,12.58,UPTREND,SIDEWAYS,DOWNTREND,50.5728,-0.0042,0.0988,HIGH,30.8191,22.3529,-77.6471,1544300.0,1037453.33,785015.0,20091884.0,13467685.6,10169005.55,Gravestone Doji,None,None,-0.3365,-0.0294,-0.0294,171716.0,892990.0,834883.0,819513.0,2809278.0,0.01,-0.5,990.0,0.0,7.44,0.0,2019-09-04
20,87,10.0,0.18,0.0183,10.22,10.0,10.82,0.0,26.45,3.6,9.79,8.11,10.41,14.41,9.71,9.84,10.29,12.31,9.86,9.98,10.69,12.5,UPTREND,SIDEWAYS,DOWNTREND,51.4729,0.0252,0.0883,HIGH,45.2158,22.6275,-76.4706,1592320.0,1073260.0,810410.0,20613046.3,13843347.0,10434019.0,Shooting Star,None,None,-0.3298,-0.0196,0.0183,-14910.0,878080.0,819973.0,809793.0,2144683.0,0.01,-0.5,1000.0,0.0,7.52,0.0,2019-09-09
21,88,9.1,0.05,0.0055,9.28,9.1,9.28,0.0,26.45,3.6,9.03,8.11,9.3,10.29,9.4,9.74,9.93,11.8,9.37,9.69,10.24,11.8,DOWNTREND,DOWNTREND,SIDEWAYS,41.647,-0.2349,0.0398,NEUTRAL,-49.4846,22.5265,-72.043,48550.0,43520.0,54320.0,439706.4,398947.33,514428.3,Black Marubozu,None,None,-0.3901,-0.0599,-0.0152,0.0,-29100.0,53098.0,873071.0,2032146.0,0.01,-0.5,910.0,0.0,6.84,0.0,2019-10-18
22,87,10.26,-0.04,-0.0039,10.3,10.22,10.3,30780.0,26.45,3.6,10.24,8.11,11.95,14.41,10.1,9.91,10.3,12.46,10.21,10.12,10.69,12.4,UPTREND,SIDEWAYS,SIDEWAYS,51.2327,0.1646,0.0784,HIGH,2.4085,15.8553,-81.6176,539380.0,1095173.33,1039265.0,6142826.9,14100295.87,13090273.8,None,None,None,-0.3123,0.0059,-0.0302,82198.0,596060.0,960278.0,891991.0,2186416.0,0.01,-0.5,1026.0,0.0,7.71,0.0,2019-09-17
23,87,8.72,-0.63,-0.0674,9.35,8.72,9.35,0.0,27.3,3.6,6.79,4.56,9.89,10.3,9.78,10.0,10.6,12.38,9.7,10.08,10.99,12.94,DOWNTREND,SIDEWAYS,DOWNTREND,23.8789,-0.11599999999999999,0.0401,NEUTRAL,-264.0841,0.0,-100.0,29930.0,27006.67,28565.0,291328.7,262770.8,280669.95,Black Marubozu,None,Three Black Crows,-0.4155,-0.1029,-0.1047,0.0,-58107.0,-58107.0,-72417.0,1658613.5,0.01,-0.5,872.0,0.0,6.56,0.0,2019-08-15
24,89,9.0,-0.15,-0.0164,9.17,9.0,9.17,0.0,26.45,4.2,8.92,8.11,9.31,9.74,9.13,9.56,9.71,11.18,9.17,9.42,9.92,11.38,SIDEWAYS,DOWNTREND,SIDEWAYS,44.2773,-0.1199,0.0291,LOW,-78.0768,15.3292,-98.7654,28480.0,60966.67,52510.0,257810.1,562801.13,483859.15,Black Marubozu,None,None,-0.3968,-0.0022,-0.0088,0.0,0.0,0.0,931178.0,1957841.0,0.01,-0.5,900.0,0.0,6.77,0.0,2019-11-13
25,87,10.58,-0.3,-0.0276,10.88,10.52,10.88,1076.0,26.45,3.6,9.96,8.11,11.95,14.41,9.97,9.9,10.31,12.41,10.19,10.11,10.71,12.44,UPTREND,SIDEWAYS,DOWNTREND,54.1763,0.138,0.0853,HIGH,47.3041,31.7631,-78.8282,568050.0,1364853.33,1030025.0,6428279.8,17246732.07,12991987.15,Black Long Day,None,None,-0.2909,0.0373,0.0774,51418.0,929498.0,890671.0,861211.0,1861931.0,0.01,-0.5,1058.0,0.0,7.95,0.0,2019-09-13
26,90,9.15,0.17,0.0189,8.98,8.72,9.15,0.0,26.45,8.0,8.78,8.11,9.16,9.74,9.03,9.3,9.6,10.88,9.04,9.27,9.76,11.17,DOWNTREND,SIDEWAYS,SIDEWAYS,51.9522,-0.11,0.0262,LOW,-7.6361,54.8023,-27.1186,29500.0,29460.0,29760.0,262770.2,263969.4,267318.95,None,Bullish Engulfing,None,-0.3867,0.0144,0.0167,0.0,0.0,0.0,38188.0,1902699.0,-0.01,-1.3333,-915.0,0.0,7.04,0.0,2019-11-26
27,91,8.0,0.0,0.0,8.0,7.92,8.25,16000.0,21.8,7.92,7.96,6.79,8.56,9.16,8.67,8.93,9.39,10.38,8.56,8.93,9.44,10.81,DOWNTREND,SIDEWAYS,DOWNTREND,33.5061,-0.1894,0.038,NEUTRAL,-156.4386,0.0,-93.4959,18170.0,19460.0,19310.0,152545.1,166194.6,166568.7,Doji,None,None,-0.4638,-0.0847,-0.0431,28360.0,45256.0,45256.0,16156.0,2210467.0,-0.01,-1.3333,-800.0,0.0,6.15,0.0,2019-12-17
28,89,9.05,0.0,0.0,9.05,9.05,9.19,0.0,26.45,3.6,9.04,8.11,9.74,10.19,9.17,9.7,9.84,11.58,9.27,9.57,10.1,11.62,SIDEWAYS,DOWNTREND,SIDEWAYS,43.4046,-0.1877,0.0388,NEUTRAL,-48.5401,23.6111,-78.125,76540.0,66346.67,59825.0,709908.2,612001.27,550416.2,Gravestone Doji,None,None,-0.3934,-0.0651,-0.0055,0.0,0.0,-29100.0,931178.0,2032071.0,0.01,-0.5,905.0,0.0,6.8,0.0,2019-10-29
29,87,9.9,-0.28,-0.0275,10.18,9.8,10.18,0.0,26.45,3.6,9.85,8.11,10.39,11.95,10.23,9.96,10.18,12.53,10.15,10.12,10.61,12.24,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.1828,0.1046,0.0638,HIGH,-82.5799,7.4627,-96.2687,130440.0,408753.33,358890.0,1336119.5,4594478.87,3971633.25,Black Long Day,Bearish Engulfing,None,-0.3365,-0.0294,-0.0313,0.0,82198.0,960278.0,891991.0,2095931.0,0.01,-0.5,990.0,0.0,7.44,0.0,2019-09-26
30,89,9.1,0.05,0.0055,9.06,9.05,9.1,0.0,26.45,3.6,9.04,8.11,9.5,10.04,9.15,9.7,9.82,11.55,9.26,9.55,10.08,11.6,SIDEWAYS,DOWNTREND,SIDEWAYS,44.6033,-0.1819,0.0362,NEUTRAL,-52.4979,21.9907,-77.7778,75340.0,65293.33,60175.0,699003.9,602646.2,553506.0,White Long Day,None,None,-0.3901,-0.0599,0.0,0.0,0.0,-29100.0,931178.0,2032071.0,0.01,-0.5,910.0,0.0,6.84,0.0,2019-10-30
31,88,9.0,0.0,0.0,8.9,8.84,9.0,0.0,26.45,3.6,8.92,8.11,9.22,10.73,9.76,9.83,10.02,12.02,9.58,9.84,10.38,11.96,DOWNTREND,SIDEWAYS,SIDEWAYS,38.0215,-0.1701,0.0477,NEUTRAL,-121.3669,7.4844,-89.7436,49330.0,60680.0,89885.0,457446.8,582743.67,896783.15,None,None,None,-0.3968,-0.0702,-0.0207,0.0,-29100.0,105974.0,873071.0,1995071.0,0.01,-0.5,900.0,0.0,6.77,0.0,2019-10-10
32,90,9.0,0.17,0.0193,8.83,8.72,9.0,0.0,26.45,5.0,8.77,8.11,9.05,9.36,9.03,9.35,9.62,10.94,9.03,9.29,9.79,11.21,DOWNTREND,DOWNTREND,SIDEWAYS,46.9413,-0.1188,0.0245,LOW,-97.7444,23.0088,-52.5424,32660.0,34340.0,36425.0,291285.6,308129.53,328235.8,None,Bullish Engulfing,None,-0.3968,-0.0022,0.0056,0.0,0.0,0.0,105974.0,1875471.0,-0.01,-1.3333,-900.0,0.0,6.92,0.0,2019-11-22
33,87,10.6,0.6,0.06,10.02,9.92,10.98,0.0,26.45,3.6,9.81,8.11,10.79,14.41,9.75,9.85,10.29,12.34,9.93,10.0,10.69,12.48,UPTREND,SIDEWAYS,DOWNTREND,56.5997,0.0416,0.0845,HIGH,61.8735,25.1765,-69.4118,1219180.0,1103300.0,832815.0,16213496.4,14162400.13,10671513.4,None,None,None,-0.2895,0.0392,0.0794,-14910.0,878080.0,819973.0,809793.0,2184533.0,0.01,-0.5,1060.0,0.0,7.97,0.0,2019-09-10
34,89,9.15,0.13,0.0144,9.05,9.0,9.2,0.0,26.45,3.6,9.01,8.11,9.2,9.74,9.12,9.71,9.8,11.46,9.23,9.51,10.04,11.55,SIDEWAYS,DOWNTREND,SIDEWAYS,46.3392,-0.1711,0.0332,NEUTRAL,-16.3058,0.0,-81.25,76950.0,61166.67,62750.0,713228.9,565438.6,576467.65,None,None,None,-0.3867,0.0144,0.0144,0.0,0.0,-29100.0,931178.0,2031931.0,0.01,-0.5,915.0,0.0,6.88,0.0,2019-11-04
35,88,9.02,-0.17,-0.0185,9.17,9.02,9.17,0.0,26.45,3.6,9.0,8.11,9.68,11.95,10.05,9.86,10.07,12.17,9.77,9.95,10.46,12.05,DOWNTREND,SIDEWAYS,SIDEWAYS,37.8896,-0.0818,0.055,HIGH,-148.4716,6.7048,-100.0,60450.0,87533.33,297080.0,582315.7,870906.6,3330278.45,Black Marubozu,None,None,-0.3954,-0.0682,-0.0185,0.0,1680.0,931178.0,873071.0,2005001.0,0.01,-0.5,902.0,0.0,6.78,0.0,2019-10-07
36,89,8.95,-0.05,-0.0056,8.94,8.94,9.14,0.0,26.45,4.2,8.94,8.11,9.2,9.74,9.12,9.52,9.69,11.11,9.13,9.38,9.88,11.33,SIDEWAYS,DOWNTREND,SIDEWAYS,43.1027,-0.113,0.0272,LOW,-98.2736,4.9356,-97.2973,36650.0,38660.0,55490.0,330854.6,350087.93,510327.45,Inverted Hammer,None,None,-0.4001,-0.0078,-0.0143,0.0,0.0,0.0,931178.0,1776401.0,-0.01,-1.3333,-895.0,0.0,6.88,0.0,2019-11-15
37,89,9.0,0.0,0.0,9.0,8.95,9.0,0.0,26.45,4.2,8.98,8.11,9.24,9.74,9.13,9.54,9.7,11.14,9.15,9.4,9.9,11.36,SIDEWAYS,DOWNTREND,SIDEWAYS,44.2773,-0.1155,0.0274,LOW,-127.9238,10.6191,-89.1304,35000.0,48173.33,55170.0,316160.7,438793.47,507582.3,Dragonfly Doji,None,None,-0.3968,-0.0022,-0.0088,0.0,0.0,0.0,931178.0,1778301.0,-0.01,-1.3333,-900.0,0.0,6.92,0.0,2019-11-14
38,87,9.9,0.0,0.0,9.9,9.76,10.0,0.0,26.45,3.6,9.83,8.11,13.64,14.41,9.72,9.86,10.32,12.25,9.83,9.99,10.76,12.61,UPTREND,SIDEWAYS,DOWNTREND,50.5728,-0.0207,0.1017,HIGH,9.1768,23.5294,-77.6471,1539150.0,1033220.0,782550.0,20037720.7,13424764.87,10144000.75,Doji,None,None,-0.3365,-0.0294,-0.0294,528772.0,892990.0,834883.0,819513.0,2758653.0,0.01,-0.5,990.0,0.0,7.44,0.0,2019-09-03
39,88,9.04,-0.26,-0.027999999999999997,9.3,9.02,9.3,0.0,26.45,3.6,8.92,8.11,9.3,10.46,9.58,9.79,9.97,11.9,9.48,9.77,10.31,11.88,DOWNTREND,SIDEWAYS,SIDEWAYS,40.1947,-0.2145,0.0441,NEUTRAL,-72.5715,25.7734,-85.0746,43110.0,55893.33,76560.0,390924.2,525808.47,747474.95,Black Long Day,Bearish Engulfing,None,-0.3941,-0.0661,-0.0216,0.0,-29100.0,38188.0,873071.0,2006621.0,0.01,-0.5,904.0,0.0,6.8,0.0,2019-10-15
40,87,11.42,0.82,0.0774,11.2,11.2,12.48,-58858.0,26.45,3.6,9.81,8.11,11.95,14.41,9.83,9.88,10.3,12.36,10.07,10.06,10.71,12.47,UPTREND,SIDEWAYS,DOWNTREND,62.4401,0.0756,0.0846,HIGH,150.8102,31.451,-59.7647,637480.0,1330806.67,1004045.0,7119816.2,16866261.4,12704518.25,Inverted Hammer,None,None,-0.2346,0.1196,0.1629,-73768.0,819222.0,761115.0,750935.0,2100535.0,0.01,-0.5,1142.0,0.0,8.59,0.0,2019-09-11
41,89,9.02,-0.08,-0.0088,9.03,9.02,9.03,0.0,26.45,3.6,8.96,8.11,9.26,9.74,9.13,9.7,9.81,11.5,9.23,9.53,10.06,11.57,SIDEWAYS,DOWNTREND,SIDEWAYS,43.0328,-0.1773,0.0346,NEUTRAL,-91.2993,14.6991,-100.0,74330.0,62013.33,59930.0,689800.3,573662.4,551056.3,Black Marubozu,None,None,-0.3954,-0.0682,-0.0088,0.0,0.0,-29100.0,931178.0,2023491.0,0.01,-0.5,902.0,0.0,6.78,0.0,2019-10-31
42,89,9.1,-0.1,-0.0109,9.2,9.08,9.41,0.0,26.45,3.6,9.03,8.11,9.74,10.29,9.22,9.7,9.87,11.64,9.32,9.61,10.14,11.67,DOWNTREND,DOWNTREND,SIDEWAYS,44.2298,-0.2006,0.0415,NEUTRAL,-14.7293,54.0948,-72.9167,73830.0,71720.0,62155.0,685919.6,660464.67,574705.8,None,None,None,-0.3901,-0.0599,0.0,0.0,0.0,1680.0,892351.0,2032071.0,0.01,-0.5,910.0,0.0,6.84,0.0,2019-10-25
43,87,8.7,-0.12,-0.0136,8.9,8.7,9.3,0.0,26.5,3.6,8.54,5.12,9.36,10.17,9.56,9.88,10.46,12.27,9.47,9.92,10.84,12.78,DOWNTREND,DOWNTREND,DOWNTREND,32.3489,-0.1911,0.0488,NEUTRAL,-144.7795,29.1449,-83.7696,23010.0,28933.33,27350.0,211730.2,275527.8,262194.45,Shooting Star,None,None,-0.4169,-0.1049,-0.0625,0.0,-38827.0,-58107.0,-72417.0,1543448.5,0.01,-0.5,870.0,0.0,6.54,0.0,2019-08-22
44,89,9.08,-0.23,-0.0247,9.07,9.03,9.28,0.0,26.45,3.6,9.0,8.11,9.31,9.74,9.14,9.61,9.74,11.3,9.19,9.45,9.97,11.45,DOWNTREND,DOWNTREND,SIDEWAYS,45.881,-0.14400000000000002,0.031,NEUTRAL,-21.1549,18.3333,-90.0,40190.0,62120.0,55935.0,365186.0,573806.0,515701.15,None,Bullish Harami,None,-0.3914,0.0067,0.0067,0.0,0.0,-29100.0,931178.0,2047991.0,0.01,-0.5,908.0,0.0,6.83,0.0,2019-11-08
45,89,9.2,-0.49,-0.0506,9.78,9.08,9.8,0.0,26.45,3.6,9.03,8.11,9.74,10.39,9.26,9.7,9.88,11.67,9.34,9.63,10.16,11.7,DOWNTREND,DOWNTREND,SIDEWAYS,45.8486,-0.2101,0.0415,NEUTRAL,31.2321,63.2489,-62.5,71680.0,65680.0,60505.0,666216.3,605223.53,561831.55,Black Long Day,Bearish Engulfing,None,-0.3834,-0.0496,0.011000000000000001,0.0,0.0,2756.0,892351.0,2032071.0,0.01,-0.5,920.0,0.0,6.92,0.0,2019-10-24
46,87,10.28,0.02,0.0019,10.2,10.14,10.3,0.0,26.45,3.6,10.2,8.11,11.16,14.41,10.14,9.91,10.31,12.49,10.21,10.13,10.68,12.37,UPTREND,SIDEWAYS,SIDEWAYS,51.4222,0.1679,0.0738,HIGH,-4.8001,15.1706,-80.8824,548970.0,489693.33,1046635.0,6241212.9,5435680.67,13166548.45,None,None,None,-0.311,0.0078,-0.0284,141056.0,239004.0,960278.0,891991.0,2070436.0,0.01,-0.5,1028.0,0.0,7.73,0.0,2019-09-18
47,87,9.9,-0.3,-0.0294,10.4,9.8,11.0,63072.0,26.45,3.6,9.44,8.11,14.41,14.88,9.72,9.87,10.33,12.25,9.82,9.99,10.78,12.63,SIDEWAYS,SIDEWAYS,DOWNTREND,50.5728,-0.0425,0.1077,HIGH,45.1375,24.0784,-77.6471,1528010.0,1025960.0,778970.0,19927137.8,13353436.87,10109233.25,None,None,None,-0.3365,-0.0294,-0.0294,892990.0,892990.0,834883.0,819513.0,2704968.0,0.01,-0.5,990.0,0.0,7.44,0.0,2019-09-02
48,87,10.88,-0.54,-0.0473,11.44,10.78,11.44,109200.0,26.45,3.6,9.81,8.11,11.95,14.41,9.91,9.89,10.3,12.39,10.15,10.09,10.71,12.46,UPTREND,SIDEWAYS,DOWNTREND,57.0002,0.1101,0.0868,HIGH,83.5326,34.902,-66.1176,587340.0,1355226.67,1021815.0,6607147.0,17138901.93,12903133.3,Black Long Day,Bearish Engulfing,None,-0.2708,0.0667,0.1079,50342.0,928422.0,889595.0,860135.0,2201695.0,0.01,-0.5,1088.0,0.0,8.18,0.0,2019-09-12
