,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,145,227.2,1.0,0.0044,226.4,226.2,229.2,-27947316.0,328.4,212.0,226.2,215.3,235.1,258.9,225.72,226.88,250.45,279.81,227.79,232.66,246.88,262.53,UPTREND,SIDEWAYS,DOWNTREND,48.7626,0.1784,0.0197,LOW,23.0322,54.3478,-48.913000000000004,433533.0,627064.67,650732.0,100168645.0,141633647.73,145762152.2,Inverted Hammer,Tweezer Bottoms,None,-0.2214,0.0234,-0.0122,-17838520.0,408832948.0,424640204.0,675750598.0,-5083728298.0,6.35,-0.1006,35.78,0.0,4.84,0.0,2019-10-22
1,149,192.0,-5.9,-0.0298,197.9,192.0,198.0,-16579163.0,328.4,184.1,189.9,184.1,198.25,231.1,204.6,217.76,229.86,264.93,202.9,215.33,230.55,249.55,DOWNTREND,DOWNTREND,DOWNTREND,36.5555,-8.1611,0.0326,NEUTRAL,-72.1343,26.9563,-76.5579,926928.0,966270.0,869212.0,178417486.3,191374598.2,176165108.85,Black Long Day,Bearish Engulfing,None,-0.342,0.0,0.0,-12608665.0,-740347210.0,-866867852.0,-410203978.0,-5026655298.0,6.2,-0.1667,30.97,0.0,3.93,0.0,2019-12-03
2,147,204.0,-0.4,-0.002,205.0,204.0,209.4,-39854268.0,328.4,202.0,202.0,202.0,211.1,234.0,220.75,223.22,238.02,270.56,216.96,224.92,237.92,254.86,DOWNTREND,SIDEWAYS,DOWNTREND,28.596999999999998,-3.7735,0.0255,LOW,-117.9318,0.0,-93.9394,784792.0,683180.67,637442.0,166820965.2,148245088.4,139505005.1,Shooting Star,None,None,-0.3009,-0.1207,0.0099,-302982656.0,-548257668.0,-443227812.0,-4773386.0,-4887995136.0,6.2,-0.1667,32.9,0.0,4.17,0.0,2019-11-20
3,149,206.6,4.6,0.0228,204.0,202.2,206.6,8904206.0,328.4,184.1,192.0,184.1,208.0,222.4,199.93,216.43,226.66,262.67,202.99,213.51,228.43,247.73,DOWNTREND,DOWNTREND,DOWNTREND,50.7838,-6.9234,0.0293,LOW,44.0578,80.7642,-11.0672,777643.0,760608.67,843673.5,150129665.8,147794470.73,168253755.75,None,None,None,-0.292,0.076,0.0228,73477246.0,-283793153.0,-727046981.0,-245335177.0,-4692549089.0,6.2,-0.1667,33.32,0.0,4.23,0.0,2019-12-09
4,143,229.0,0.0,0.0,229.0,226.8,230.0,12206222.0,328.4,217.2,227.4,217.3,236.8,260.0,230.31,255.14,273.77,289.9,234.79,250.1,266.11,276.61,SIDEWAYS,DOWNTREND,DOWNTREND,40.2226,-7.9723,0.0293,LOW,-30.095,44.8813,-54.7368,740216.0,801373.33,1018147.0,171045896.4,184804588.13,233704944.7,Doji,None,None,-0.2152,-0.037000000000000005,-0.037000000000000005,-70516674.0,75435162.0,-909130690.0,-1779768594.0,-6092720880.0,6.35,-0.1006,36.06,0.0,4.88,0.0,2019-09-06
5,143,218.6,-2.2,-0.01,221.0,217.8,221.0,18493906.0,328.4,212.0,218.2,214.7,222.4,231.3,222.66,232.18,257.82,284.28,223.24,235.06,252.19,267.2,DOWNTREND,DOWNTREND,DOWNTREND,38.0558,-4.7462,0.0212,LOW,-87.2504,41.9355,-64.5161,844976.0,707758.0,838854.5,185653863.0,156281030.27,186731614.4,Black Long Day,None,None,-0.2509,-0.0153,-0.0073,189154738.0,117317614.0,189657994.0,-1496591974.0,-5794039144.0,6.35,-0.1006,34.43,0.0,4.66,0.0,2019-10-03
6,149,197.9,5.9,0.0307,196.0,196.0,198.6,-5257881.0,328.4,184.1,184.1,184.1,198.25,234.0,206.65,218.33,230.76,265.55,204.05,216.29,231.33,250.13,DOWNTREND,DOWNTREND,DOWNTREND,40.6589,-8.08,0.0318,NEUTRAL,-56.8318,27.4948,-61.9835,914310.0,973829.33,871614.5,176458117.0,194182614.93,177935332.4,White Long Day,None,None,-0.3218,0.0307,0.0307,-140703397.0,-841718073.0,-865026991.0,-412104355.0,-5078401001.0,6.2,-0.1667,31.92,0.0,4.05,0.0,2019-12-02
7,147,198.6,-5.4,-0.0265,205.0,198.1,207.8,-49549993.0,328.4,198.1,198.35,198.35,206.9,234.0,219.42,222.67,237.19,269.97,215.21,223.89,237.14,254.3,DOWNTREND,SIDEWAYS,DOWNTREND,24.8334,-4.4337,0.0278,LOW,-124.78299999999999,4.8961,-98.645,835011.0,713356.67,659212.0,176127409.4,153609009.47,143419561.7,Black Long Day,None,None,-0.3194,-0.14400000000000002,-0.0168,-273701661.0,-630836635.0,-495179901.0,-16467787.0,-4945013619.0,6.2,-0.1667,32.03,0.0,4.06,0.0,2019-11-21
8,149,220.0,7.0,0.0329,213.0,213.0,220.0,-4148430.0,328.4,184.1,211.0,184.1,225.0,234.0,206.95,215.06,221.98,257.96,212.32,214.75,226.37,244.8,UPTREND,DOWNTREND,SIDEWAYS,56.7598,0.7677,0.0296,LOW,72.0514,67.3372,-22.9885,761610.0,658808.67,769626.5,166420498.0,141102724.73,158275081.9,White Marubozu,Bullish Engulfing,None,-0.2461,0.1458,0.0329,-91067160.0,247578546.0,-594139527.0,-109428589.0,-4106453661.0,6.2,-0.1667,35.48,0.0,4.5,0.0,2019-12-23
9,143,220.0,-0.2,-0.0009,221.0,219.6,221.8,-28692804.0,328.4,217.2,219.8,217.3,226.7,238.6,226.84,240.74,263.62,286.54,226.58,239.94,257.04,270.62,DOWNTREND,DOWNTREND,DOWNTREND,37.3583,-5.6362,0.0234,LOW,-126.1194,0.0,-96.7742,996493.0,822494.0,798476.0,222873462.4,184672427.73,180981943.6,None,None,None,-0.2461,-0.0749,0.0,-127032144.0,-210242984.0,-324846988.0,-1710463556.0,-5976296844.0,6.35,-0.1006,34.65,0.0,4.69,0.0,2019-09-24
10,149,192.0,-3.0,-0.0154,195.0,192.0,196.0,549196.0,328.4,184.1,184.1,184.1,198.25,234.0,208.4,218.77,231.62,266.17,204.7,217.04,232.01,250.66,DOWNTREND,DOWNTREND,DOWNTREND,33.7538,-7.9523,0.0326,NEUTRAL,-81.9016,25.2063,-80.5897,952819.0,1000338.67,863481.0,184524246.5,200940199.13,176755943.45,Black Long Day,None,None,-0.342,-0.1724,-0.0154,-203510011.0,-890486526.0,-859274702.0,-394640252.0,-5141385176.0,6.2,-0.1667,30.97,0.0,3.93,0.0,2019-11-29
11,143,224.0,1.8,0.0081,222.8,222.6,225.0,-8722012.0,328.4,217.2,222.2,217.3,228.0,238.6,229.05,247.99,268.41,288.32,230.09,244.64,261.41,273.58,DOWNTREND,DOWNTREND,DOWNTREND,38.0388,-6.6628,0.0252,LOW,-104.0654,0.0,-89.5349,844385.0,870519.33,861182.5,190979442.6,198834159.87,196830981.3,Spinning Top,None,None,-0.2324,-0.057999999999999996,0.0081,-83534404.0,52234216.0,-589406434.0,-1813557136.0,-6015377386.0,6.35,-0.1006,35.28,0.0,4.77,0.0,2019-09-16
12,145,233.0,-0.4,-0.0017,233.0,232.0,233.0,10009186.0,328.4,212.0,228.5,215.3,235.4,252.5,223.96,227.38,252.32,281.23,227.06,233.22,248.33,263.88,UPTREND,SIDEWAYS,DOWNTREND,60.148,-1.1458,0.0184,LOW,123.704,88.6586,-17.3913,744435.0,707222.0,760746.0,167882002.6,158340459.07,169442799.4,Dragonfly Doji,Tweezer Bottoms,None,-0.2015,0.0495,0.0078,108113396.0,578814398.0,430458902.0,-701566792.0,-5293852254.0,6.35,-0.1006,36.69,0.0,4.96,0.0,2019-10-16
13,143,228.2,-1.8,-0.0078,229.6,225.4,229.6,-37855592.0,328.4,217.2,222.7,217.3,231.8,260.0,237.45,262.49,279.76,291.38,238.18,256.02,271.25,279.85,DOWNTREND,DOWNTREND,DOWNTREND,37.0525,-11.1053,0.0349,NEUTRAL,-59.44,34.1548,-58.9552,1038537.0,1343232.0,1353199.5,236359547.0,311264167.33,321466424.4,Hanging Man,None,None,-0.218,-0.1189,-0.0078,-118308868.0,-747932798.0,-1513768370.0,-2206645858.0,-6140973190.0,6.35,-0.1006,35.94,0.0,4.86,0.0,2019-08-28
14,143,222.0,1.8,0.0082,220.0,218.2,222.8,19564346.0,328.4,212.0,215.5,214.7,222.4,233.2,224.09,235.69,260.32,285.34,224.47,237.01,254.19,268.64,DOWNTREND,DOWNTREND,DOWNTREND,41.8734,-5.2355,0.0224,LOW,-67.1975,44.2832,-46.2366,760234.0,897197.33,802309.5,167970236.2,199757206.93,179474839.4,None,Bullish Engulfing,None,-0.2392,-0.0664,0.0082,92808006.0,-17053334.0,32970832.0,-1631083042.0,-5883405474.0,6.35,-0.1006,34.96,0.0,4.73,0.0,2019-09-30
15,149,201.0,-5.6,-0.0271,207.0,201.0,207.6,-9705550.0,328.4,184.1,195.6,184.1,207.1,216.8,198.98,216.01,225.85,262.09,202.8,213.02,227.89,247.26,SIDEWAYS,DOWNTREND,DOWNTREND,46.2613,-6.4364,0.0303,NEUTRAL,38.4407,76.9973,-28.691999999999997,541357.0,739822.0,816105.0,106713144.2,143555357.0,161988723.25,Black Long Day,Bearish Engulfing,None,-0.3112,0.0469,-0.005,80350859.0,-272528347.0,-743691659.0,-246318715.0,-4734268213.0,6.2,-0.1667,32.42,0.0,4.11,0.0,2019-12-10
16,143,233.6,5.4,0.0237,228.2,226.6,233.6,34563174.0,328.4,217.2,222.7,217.3,238.1,260.0,236.49,261.52,278.93,291.19,237.75,255.14,270.51,279.39,DOWNTREND,DOWNTREND,DOWNTREND,42.4173,-10.7547,0.0338,NEUTRAL,-33.5546,48.9876,-25.4545,933955.0,1259171.33,1276981.5,214217923.4,289484992.4,301839206.3,White Long Day,Bullish Engulfing,None,-0.1995,-0.0981,0.0157,20716428.0,-801471680.0,-1409153978.0,-2220938340.0,-6149076948.0,6.35,-0.1006,36.79,0.0,4.98,0.0,2019-08-29
17,146,227.0,-6.0,-0.0258,233.0,226.0,234.2,-29054244.0,328.4,212.0,226.5,218.2,234.0,258.9,229.87,226.8,245.22,275.88,228.82,231.49,243.64,259.33,DOWNTREND,SIDEWAYS,DOWNTREND,47.3789,0.639,0.0196,LOW,-23.9569,63.5039,-67.2131,490092.0,431448.67,461812.5,112189045.0,98941668.0,106178845.0,Black Long Day,Bearish Engulfing,None,-0.2221,-0.0216,-0.0216,90560890.0,95084440.0,680193662.0,355346674.0,-4493612168.0,6.35,-0.1006,35.75,0.0,4.84,0.0,2019-11-06
18,149,216.0,8.4,0.0405,207.0,205.8,216.0,80661356.0,328.4,184.1,200.9,184.1,228.2,235.1,199.37,215.67,224.49,261.1,204.47,212.93,227.26,246.56,UPTREND,DOWNTREND,DOWNTREND,57.6178,-5.129,0.0297,LOW,160.2268,90.436,0.0,470591.0,731770.0,727947.0,94731513.4,142605103.13,143338287.15,White Long Day,None,None,-0.2598,0.125,0.0693,96636354.0,-82538664.0,-713375299.0,-186247531.0,-4602747649.0,6.2,-0.1667,34.84,0.0,4.42,0.0,2019-12-12
19,143,228.0,-3.0,-0.013000000000000001,232.0,227.0,232.8,-45583478.0,328.4,217.2,227.3,217.3,238.6,252.5,231.51,257.45,275.58,290.41,236.07,251.85,267.62,277.57,DOWNTREND,DOWNTREND,DOWNTREND,39.1432,-8.7391,0.032,NEUTRAL,-34.9605,63.0542,-55.8824,809608.0,921781.33,1179491.5,186277707.6,211360388.13,273788643.1,Black Long Day,None,None,-0.2186,-0.0412,-0.0412,156366608.0,-38924568.0,-1132025694.0,-1881409236.0,-6141228828.0,6.35,-0.1006,35.91,0.0,4.86,0.0,2019-09-04
20,143,225.8,-3.2,-0.013999999999999999,230.0,225.8,232.0,-18479540.0,328.4,217.2,225.1,217.3,233.2,260.0,230.05,253.95,272.84,289.63,233.93,249.14,265.31,276.11,SIDEWAYS,DOWNTREND,DOWNTREND,37.7384,-7.6703,0.0296,LOW,-41.1672,39.6491,-71.5789,720217.0,757868.67,930271.5,166585665.6,174664258.93,213228458.2,Black Long Day,Bearish Engulfing,None,-0.2262,-0.0505,-0.013999999999999999,-80497640.0,50024166.0,-504170782.0,-1842872148.0,-6047194328.0,6.35,-0.1006,35.56,0.0,4.81,0.0,2019-09-09
21,145,230.0,-5.0,-0.0213,235.0,227.0,235.2,494408.0,328.4,212.0,228.5,215.3,235.6,260.0,225.06,227.04,251.35,280.51,228.02,233.16,247.7,263.25,UPTREND,SIDEWAYS,DOWNTREND,53.1114,-0.2278,0.0194,LOW,70.0174,80.7971,-33.6957,646616.0,647840.67,723239.5,147410236.0,145891395.6,161525196.9,None,Bearish Engulfing,None,-0.2118,0.036000000000000004,-0.0052,111881662.0,508019856.0,452922636.0,-456208054.0,-5151237830.0,6.35,-0.1006,36.22,0.0,4.9,0.0,2019-10-18
22,143,230.6,6.6,0.0295,223.8,223.0,230.6,72012404.0,328.4,217.2,222.2,217.3,231.7,258.9,228.73,246.89,267.67,288.07,230.14,244.09,260.8,273.15,DOWNTREND,DOWNTREND,DOWNTREND,46.9051,-6.394,0.0251,LOW,-12.9547,0.0,-51.1628,845323.0,805689.33,851027.0,191017278.2,183981682.53,194243298.7,White Long Day,None,None,-0.2097,-0.0303,0.0378,-15598354.0,80883654.0,-569751966.0,-1787835324.0,-5883403678.0,6.35,-0.1006,36.31,0.0,4.91,0.0,2019-09-17
23,143,235.2,1.0,0.0043,229.6,224.0,235.2,6931456.0,328.4,217.2,217.3,217.3,260.0,281.2,249.31,269.64,285.67,292.58,246.96,264.51,277.48,283.47,DOWNTREND,DOWNTREND,DOWNTREND,38.0824,-11.4657,0.0372,NEUTRAL,-81.762,27.3789,-57.9439,1536750.0,2397688.67,2232730.0,361798380.4,576768227.6,548276992.2,None,None,None,-0.19399999999999998,-0.0919,0.0453,-375239692.0,-554194948.0,-1664053874.0,-2999715180.0,-5501065198.0,6.35,-0.1006,37.04,0.0,5.01,0.0,2019-08-15
24,146,213.2,-6.8,-0.0309,219.8,212.4,220.4,-124339616.0,328.4,212.0,212.8,212.6,228.7,235.6,227.57,225.7,242.18,273.52,225.96,229.76,241.59,257.52,SIDEWAYS,SIDEWAYS,DOWNTREND,31.9355,-0.1501,0.0215,LOW,-268.3505,0.0,-96.4602,594960.0,563382.0,501077.0,134010868.6,127102164.13,113438351.6,Black Long Day,None,Three Black Crows,-0.2694,-0.081,-0.0649,-335835902.0,-222912942.0,185920006.0,204568814.0,-4840432114.0,6.35,-0.1006,33.57,0.0,4.54,0.0,2019-11-13
25,143,222.2,-0.2,-0.0009,222.6,222.2,225.4,-30738272.0,328.4,217.2,222.1,217.3,229.5,238.6,229.61,249.21,269.23,288.6,230.73,245.48,262.17,274.08,DOWNTREND,DOWNTREND,DOWNTREND,35.3028,-6.8127,0.0264,LOW,-126.9677,10.9417,-100.0,844660.0,881282.0,891883.5,191579091.6,201360821.2,204101108.8,Shooting Star,None,None,-0.2385,-0.0656,-0.0297,-93291932.0,66234334.0,-394301726.0,-1757565156.0,-6073089300.0,6.35,-0.1006,34.99,0.0,4.73,0.0,2019-09-13
26,147,184.1,-2.1,-0.0113,186.6,184.1,190.5,-144673895.0,328.4,184.1,184.1,184.1,206.7,234.0,213.85,220.61,234.3,268.03,208.17,219.86,234.3,252.35,DOWNTREND,DOWNTREND,DOWNTREND,17.648,-6.6805,0.0326,NEUTRAL,-141.1047,0.0,-100.0,1090853.0,919914.67,818023.5,217264302.3,188355081.8,170777842.55,None,None,None,-0.3691,-0.2065,-0.0559,-340270541.0,-968289075.0,-793466481.0,-478092953.0,-5136244591.0,6.2,-0.1667,29.69,0.0,3.77,0.0,2019-11-26
27,149,225.0,1.4,0.0063,223.8,220.0,225.0,26480622.0,328.4,184.1,205.1,184.1,226.5,234.0,202.44,215.89,223.2,259.79,209.38,214.11,227.03,245.87,UPTREND,DOWNTREND,SIDEWAYS,63.0617,-2.1831,0.0284,LOW,172.6553,91.8688,-8.3333,593046.0,634398.67,759987.0,127143084.2,131293786.13,152780285.25,Hammer,None,None,-0.2289,0.1719,0.0172,301354632.0,369096826.0,-599192249.0,81362853.0,-4159416097.0,6.2,-0.1667,36.29,0.0,4.6,0.0,2019-12-17
28,146,229.8,6.8,0.0305,223.0,223.0,229.8,37240088.0,328.4,212.0,223.0,215.3,229.9,238.6,227.3,226.54,247.69,278.06,227.26,231.53,244.93,260.77,UPTREND,SIDEWAYS,DOWNTREND,53.412,0.1453,0.0203,LOW,1.755,0.0,-48.4848,407194.0,455764.0,595355.0,92865834.6,104540681.73,134546424.6,White Marubozu,Bullish Engulfing,None,-0.2125,0.0351,0.0159,22362070.0,105029856.0,462600628.0,-107151338.0,-4746230964.0,6.35,-0.1006,36.19,0.0,4.9,0.0,2019-10-29
29,143,219.0,0.0,0.0,219.0,217.4,220.8,6338890.0,328.4,212.0,215.5,214.7,222.6,238.6,225.65,238.18,261.91,285.92,225.2,238.33,255.54,269.6,DOWNTREND,DOWNTREND,DOWNTREND,36.3901,-5.4878,0.0238,LOW,-112.5842,24.4086,-65.0,670495.0,857711.33,812633.0,148469319.6,191674002.0,183397137.9,Doji,None,None,-0.2495,-0.0791,-0.0045,-72891078.0,-122184562.0,-54260746.0,-1695403498.0,-6001091930.0,6.35,-0.1006,34.49,0.0,4.67,0.0,2019-09-26
30,146,232.0,2.2,0.0096,231.8,227.8,232.0,33028974.0,328.4,212.0,223.0,215.3,235.1,252.5,227.86,226.5,247.26,277.61,227.71,231.55,244.67,260.48,SIDEWAYS,SIDEWAYS,DOWNTREND,56.2377,0.1981,0.0199,LOW,53.6849,0.0,-31.8182,419786.0,440658.0,582110.5,95719714.0,101081181.47,131800858.3,Hammer,None,None,-0.2049,0.045,0.0256,76653218.0,135656734.0,527127768.0,-133563950.0,-4666418066.0,6.35,-0.1006,36.54,0.0,4.94,0.0,2019-10-30
31,145,229.0,0.0,0.0,228.2,228.0,229.8,2528928.0,328.4,212.0,219.5,214.7,230.2,238.6,222.35,229.37,254.21,282.54,224.08,233.24,249.6,265.13,SIDEWAYS,DOWNTREND,DOWNTREND,56.013999999999996,-3.2934,0.0206,LOW,151.9585,85.2392,-12.3711,874670.0,885669.33,772582.5,194555054.2,196171127.6,171512186.9,None,None,None,-0.2152,0.0315,0.04,277736302.0,393999962.0,446677868.0,-962476110.0,-5531556250.0,6.35,-0.1006,36.06,0.0,4.88,0.0,2019-10-10
32,147,195.0,-3.6,-0.0181,200.4,194.2,200.4,-38127890.0,328.4,194.2,194.6,194.6,206.9,234.0,217.79,222.12,236.3,269.33,213.29,222.75,236.31,253.71,DOWNTREND,SIDEWAYS,DOWNTREND,22.6895,-5.1026,0.0286,LOW,-132.4273,3.1255,-98.0392,879861.0,737543.33,665835.0,183680406.2,157187996.27,143574459.1,Black Long Day,None,None,-0.3317,-0.1595,-0.0347,-238150627.0,-705780435.0,-535836719.0,-89158851.0,-4940148941.0,6.2,-0.1667,31.45,0.0,3.99,0.0,2019-11-22
33,143,227.0,1.2,0.0053,227.0,225.8,229.0,4076354.0,328.4,217.2,225.8,217.3,230.9,238.6,229.9,252.81,271.89,289.38,233.27,248.28,264.55,275.62,SIDEWAYS,DOWNTREND,DOWNTREND,39.2535,-7.3903,0.0283,LOW,-49.8395,36.1404,-65.2632,600459.0,729319.33,873995.5,139090424.8,167736332.27,200123233.6,Doji,Tweezer Bottoms,None,-0.2221,-0.0454,-0.0087,-67612486.0,2841552.0,251110394.0,-1853228508.0,-5824389854.0,6.35,-0.1006,35.75,0.0,4.84,0.0,2019-09-10
34,146,233.0,1.0,0.0043,232.8,231.8,233.0,11391742.0,328.4,212.0,223.0,215.3,235.6,260.0,229.17,226.8,246.36,276.73,228.59,231.62,244.2,259.93,DOWNTREND,SIDEWAYS,DOWNTREND,57.5936,0.4312,0.0183,LOW,80.3649,70.7071,-24.2424,420127.0,414399.33,533371.5,95778516.2,95196637.47,121594376.1,Hammer,None,None,-0.2015,0.0043,0.0043,125415842.0,172794740.0,633195762.0,54182482.0,-4510620782.0,6.35,-0.1006,36.69,0.0,4.96,0.0,2019-11-04
35,144,220.0,-0.2,-0.0009,220.8,219.8,223.2,0.0,328.4,212.0,218.2,214.7,222.0,230.6,221.93,230.51,256.18,283.53,222.67,233.91,250.93,266.26,DOWNTREND,DOWNTREND,DOWNTREND,40.9619,-4.398,0.0203,LOW,-31.9635,41.1753,-56.044,861897.0,814784.67,903869.5,189421036.6,179810113.47,200690372.2,Shooting Star,None,None,-0.2461,-0.009000000000000001,-0.0009,146466928.0,212947998.0,265182214.0,-1419946224.0,-5742513752.0,6.35,-0.1006,34.65,0.0,4.69,0.0,2019-10-07
36,146,202.0,-0.6,-0.003,202.6,202.0,208.8,-73678924.0,328.4,202.0,202.0,202.0,225.8,234.1,224.4,224.65,240.47,272.29,221.66,227.65,240.05,256.43,DOWNTREND,SIDEWAYS,DOWNTREND,24.465,-1.5545,0.027000000000000003,LOW,-268.2875,0.0,-100.0,774143.0,666332.0,604613.0,168987640.4,146903042.8,134094509.6,Shooting Star,None,None,-0.3077,-0.1293,-0.114,-448825888.0,-364807710.0,-19949790.0,169708204.0,-4945295912.0,6.2,-0.1667,32.58,0.0,4.13,0.0,2019-11-15
37,146,202.6,-10.6,-0.0497,213.8,202.6,217.8,-78830988.0,328.4,202.6,202.6,202.6,228.2,235.1,226.05,225.19,241.32,272.91,223.73,228.7,240.82,256.97,DOWNTREND,SIDEWAYS,DOWNTREND,24.7983,-0.7864,0.0264,LOW,-315.9291,0.0,-100.0,711796.0,640123.33,565791.0,157644594.6,142713469.2,126682154.3,Black Long Day,None,Three Black Crows,-0.3057,-0.1267,-0.1114,-393949714.0,-280481756.0,72223040.0,138925006.0,-4861298174.0,6.2,-0.1667,32.68,0.0,4.14,0.0,2019-11-14
38,143,231.0,-4.6,-0.0195,235.0,231.0,235.4,-8808800.0,328.4,217.2,226.8,217.3,238.6,258.9,233.01,258.65,276.49,290.67,236.92,252.83,268.42,278.07,DOWNTREND,DOWNTREND,DOWNTREND,41.2165,-9.1737,0.032,NEUTRAL,-6.1782,79.2793,-37.8378,856731.0,1007162.0,1199657.0,197469319.2,230740858.67,279521949.2,Black Long Day,None,None,-0.2084,-0.0286,-0.0286,164094494.0,-114604004.0,-1135393142.0,-1938394170.0,-6111717110.0,6.35,-0.1006,36.38,0.0,4.92,0.0,2019-09-03
39,145,233.4,-1.2,-0.0051,235.2,232.0,236.2,50683910.0,328.4,212.0,227.0,215.3,235.4,258.9,223.47,227.88,252.87,281.57,226.43,233.23,248.64,264.19,UPTREND,SIDEWAYS,DOWNTREND,60.9771,-1.6752,0.0193,LOW,161.0392,93.1224,-14.8936,783516.0,762922.0,766400.5,176227014.6,170200564.93,170646105.4,None,None,None,-0.2001,0.0514,0.0095,100506306.0,585109222.0,374866238.0,-760526904.0,-5450628428.0,6.35,-0.1006,36.76,0.0,4.97,0.0,2019-10-15
40,143,226.2,-0.8,-0.0035,227.0,224.0,228.0,9714052.0,328.4,217.2,224.9,217.3,230.5,238.6,229.96,251.7,270.98,289.14,232.6,247.41,263.79,275.13,SIDEWAYS,DOWNTREND,DOWNTREND,38.5795,-7.1348,0.0276,LOW,-73.631,31.2281,-69.4737,613552.0,719350.0,826044.5,141940413.4,165024723.87,189149980.2,None,None,None,-0.2248,-0.0488,-0.0122,-12314956.0,25742784.0,-26515300.0,-1762212538.0,-5926514258.0,6.35,-0.1006,35.62,0.0,4.82,0.0,2019-09-11
41,146,232.0,0.0,0.0,232.0,230.2,233.0,36815910.0,328.4,212.0,223.0,215.3,232.5,240.9,228.53,226.64,246.83,277.16,228.12,231.56,244.42,260.2,SIDEWAYS,SIDEWAYS,DOWNTREND,56.2377,0.2956,0.0194,LOW,69.8061,62.6263,-31.8182,435083.0,412282.0,550975.5,99201378.8,94686247.87,125316100.1,Doji,None,None,-0.2049,0.045,0.0256,102822098.0,169943716.0,563943678.0,-184850096.0,-4649608396.0,6.35,-0.1006,36.54,0.0,4.94,0.0,2019-10-31
42,146,226.2,-1.4,-0.0062,227.6,225.4,228.0,-11202002.0,328.4,212.0,224.4,215.3,230.1,238.6,226.76,226.93,248.81,278.81,227.42,231.95,245.68,261.46,UPTREND,SIDEWAYS,DOWNTREND,47.54,0.2566,0.0191,LOW,-5.742000000000001,35.95,-75.7576,382178.0,551548.0,576233.5,88091392.0,125656792.0,129956022.7,None,None,None,-0.2248,0.0189,-0.0165,-64502764.0,277485818.0,481711804.0,87410078.0,-4855930628.0,6.35,-0.1006,35.62,0.0,4.82,0.0,2019-10-25
43,143,225.0,-0.2,-0.0009,224.4,220.4,225.0,-24632226.0,328.4,217.2,222.7,217.3,238.1,266.3,239.99,265.92,282.36,291.91,241.28,259.42,273.84,281.39,DOWNTREND,DOWNTREND,DOWNTREND,33.4174,-11.5987,0.0375,NEUTRAL,-99.8342,25.3894,-81.7757,1296078.0,1379430.67,2263687.5,296363993.0,325930167.87,548493527.5,Hammer,None,None,-0.2289,-0.1313,-0.0506,-84091104.0,-460536060.0,-1711674070.0,-2688375076.0,-5934416340.0,6.35,-0.1006,35.43,0.0,4.79,0.0,2019-08-22
44,146,228.0,2.0,0.0088,226.0,226.0,228.4,-18802750.0,328.4,212.0,225.4,218.2,234.0,260.0,229.67,226.64,244.08,274.96,228.5,231.15,242.99,258.69,SIDEWAYS,SIDEWAYS,DOWNTREND,49.287,0.5735,0.0189,LOW,-58.9128,33.0146,-58.3333,451809.0,441024.67,422438.5,103468512.0,100868644.67,97065480.0,White Long Day,None,None,-0.2186,-0.0172,-0.0172,-18803920.0,31211824.0,618030836.0,563770090.0,-4553379676.0,6.35,-0.1006,35.91,0.0,4.86,0.0,2019-11-08
45,146,227.6,2.4,0.0107,226.0,226.0,230.0,10647030.0,328.4,212.0,224.4,215.3,232.6,240.9,226.46,227.09,249.42,279.14,227.54,232.18,246.08,261.81,UPTREND,SIDEWAYS,DOWNTREND,49.7717,0.2673,0.0195,LOW,19.206,44.8981,-52.43899999999999,393068.0,584397.33,633869.0,90662448.0,132843517.6,142608751.1,None,None,None,-0.22,0.0252,-0.0104,-52806354.0,344857920.0,462175534.0,284716286.0,-4871462002.0,6.35,-0.1006,35.84,0.0,4.85,0.0,2019-10-24
46,143,223.2,-7.4,-0.0321,230.0,223.2,230.2,-31498166.0,328.4,217.2,222.2,217.3,230.6,238.6,228.19,245.65,266.87,287.77,229.48,243.27,260.05,272.66,DOWNTREND,DOWNTREND,DOWNTREND,39.9948,-6.1681,0.0265,LOW,-67.2589,21.7054,-94.186,838119.0,788169.33,823863.5,189275873.8,179971272.67,187776790.7,Black Long Day,None,None,-0.2351,-0.0614,0.0045,-56810572.0,87241080.0,-660691718.0,-1696609384.0,-5848739278.0,6.35,-0.1006,35.15,0.0,4.76,0.0,2019-09-18
