,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,140,7.88,-0.12,-0.015,7.88,7.88,7.88,0.0,15.0,7.0,7.82,7.4,8.15,9.5,8.64,9.2,9.89,10.52,8.51,9.1,9.67,10.4,DOWNTREND,DOWNTREND,DOWNTREND,30.6499,-0.3628,0.0318,NEUTRAL,-78.2751,40.7258,-64.5161,5250.0,13546.67,10335.0,42331.0,103877.73,79536.05,White Marubozu,None,None,-0.2964,-0.1688,-0.015,0.0,0.0,0.0,-3030.0,6981960.0,0.23,-0.7386,34.26,0.0,0.9,0.0,2019-10-22
1,144,7.86,-0.04,-0.0051,7.86,7.86,7.86,0.0,15.0,7.0,7.58,7.4,7.95,8.52,8.01,8.66,9.33,10.21,8.08,8.55,9.19,10.03,DOWNTREND,DOWNTREND,DOWNTREND,39.8866,-0.2214,0.0223,LOW,-81.7017,31.694000000000003,-100.0,5430.0,14533.33,13010.0,43049.2,116426.4,104012.9,White Marubozu,None,Three White Soldiers,-0.2982,-0.0051,-0.0051,0.0,-948000.0,-948000.0,-948000.0,6026720.0,0.49,0.0208,16.04,0.0,0.88,0.0,2019-12-03
2,142,8.0,-0.3,-0.0361,8.0,8.0,8.0,0.0,15.0,7.0,7.6,7.4,8.52,9.48,8.06,8.87,9.52,10.32,8.23,8.74,9.36,10.16,SIDEWAYS,DOWNTREND,DOWNTREND,42.128,-0.2704,0.0305,NEUTRAL,-29.0261,65.5738,-42.623000000000005,20260.0,15366.67,13045.0,162572.6,123204.4,104577.2,White Marubozu,None,Three White Soldiers,-0.2857,0.0,0.0,0.0,-948000.0,-948000.0,-948000.0,6033960.0,0.49,0.0208,16.33,0.0,0.9,0.0,2019-11-20
3,144,8.3,0.7,0.0921,7.85,7.85,8.3,0.0,15.0,7.0,7.58,7.3,8.52,9.48,7.98,8.53,9.2,10.14,8.0,8.45,9.09,9.94,DOWNTREND,DOWNTREND,DOWNTREND,54.9266,-0.2053,0.0239,LOW,86.3589,0.0,0.0,11710.0,9746.67,15985.0,90380.7,76171.8,126476.65,White Marubozu,None,None,-0.2589,0.0506,0.0921,0.0,0.0,-948000.0,-948000.0,6020768.0,0.49,0.0208,16.94,0.0,0.93,0.0,2019-12-09
4,138,9.59,-0.01,-0.001,9.59,9.59,9.59,0.0,15.0,9.0,9.4,9.11,9.66,10.0,9.56,9.76,10.38,10.91,9.59,9.83,10.24,10.83,DOWNTREND,SIDEWAYS,DOWNTREND,48.4795,-0.0884,0.0257,LOW,45.2174,83.105,-19.1781,22170.0,23793.33,21620.0,207381.1,222173.93,202499.7,White Marubozu,Bullish Harami,Three White Soldiers,-0.1438,-0.0062,-0.0062,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.7,0.0,1.1,0.0,2019-09-06
5,138,7.8,-1.68,-0.1772,9.01,7.0,9.01,0.0,15.0,7.0,7.4,7.4,9.48,9.8,9.38,9.55,10.19,10.74,9.31,9.61,10.03,10.65,DOWNTREND,SIDEWAYS,DOWNTREND,22.0918,-0.1029,0.0485,NEUTRAL,-464.7531,59.45,-69.2308,15420.0,12166.67,15595.0,116741.1,95365.07,131246.35,None,None,None,-0.3036,-0.1772,-0.1772,0.0,0.0,0.0,-116150.0,7020900.0,0.23,-0.7386,33.91,0.0,0.89,0.0,2019-10-03
6,144,7.86,-0.04,-0.0051,7.86,7.86,7.86,0.0,15.0,7.0,7.58,7.4,7.95,8.52,8.01,8.66,9.33,10.21,8.08,8.55,9.19,10.03,DOWNTREND,DOWNTREND,DOWNTREND,39.8866,-0.2214,0.0223,LOW,-81.7017,31.694000000000003,-100.0,5430.0,14533.33,13010.0,43049.2,116426.4,104012.9,White Marubozu,None,Three White Soldiers,-0.2982,-0.0051,-0.0051,0.0,-948000.0,-948000.0,-948000.0,6026720.0,0.49,0.0208,16.04,0.0,0.88,0.0,2019-12-02
7,142,7.9,-0.1,-0.0125,7.91,7.9,7.91,0.0,15.0,7.0,7.6,7.4,8.3,9.48,8.07,8.83,9.48,10.3,8.2,8.7,9.33,10.14,SIDEWAYS,DOWNTREND,DOWNTREND,40.3404,-0.2586,0.0296,LOW,-84.3906,62.8415,-50.8197,18490.0,15140.0,12915.0,148586.4,121315.07,103535.1,Black Marubozu,None,None,-0.2946,-0.0125,-0.0125,0.0,-948000.0,-948000.0,-948000.0,6033960.0,0.49,0.0208,16.12,0.0,0.89,0.0,2019-11-21
8,144,9.49,0.99,0.1165,9.49,9.49,9.49,0.0,15.0,7.0,8.14,7.58,9.5,9.8,8.25,8.38,9.05,10.07,8.48,8.54,9.03,9.84,UPTREND,SIDEWAYS,DOWNTREND,63.6684,0.0612,0.0464,NEUTRAL,225.6388,82.646,-0.5155,7660.0,11693.33,9780.0,64015.3,93274.2,77975.25,White Marubozu,None,Three White Soldiers,-0.1527,0.2013,0.1165,-778.0,-778.0,-948778.0,-948778.0,6006210.0,0.49,0.0208,19.37,0.0,1.06,0.0,2019-12-23
9,138,9.44,0.24,0.0261,9.44,9.44,9.44,0.0,15.0,9.0,9.2,9.1,9.45,9.8,9.47,9.62,10.25,10.78,9.46,9.7,10.1,10.7,DOWNTREND,SIDEWAYS,DOWNTREND,47.7778,-0.0837,0.0205,LOW,3.2068,0.0,-47.8261,1010.0,10146.67,11620.0,9533.9,93801.07,108737.95,White Marubozu,None,Three White Soldiers,-0.1571,-0.0218,0.0261,0.0,0.0,0.0,-116150.0,7020900.0,0.23,-0.7386,41.04,0.0,1.08,0.0,2019-09-24
10,144,7.9,0.04,0.0051,7.9,7.9,7.9,0.0,15.0,7.0,7.86,7.58,7.95,8.52,8.02,8.69,9.36,10.22,8.1,8.58,9.22,10.05,SIDEWAYS,DOWNTREND,DOWNTREND,40.8259,-0.2276,0.0235,LOW,-63.4746,48.0874,-50.8197,4180.0,14353.33,12160.0,33908.2,115069.2,97418.9,White Marubozu,None,None,-0.2946,-0.0125,0.0,0.0,-948000.0,-948000.0,-948000.0,6026720.0,0.49,0.0208,16.12,0.0,0.89,0.0,2019-11-29
11,138,9.48,-0.01,-0.0011,9.49,9.48,9.49,0.0,15.0,9.0,9.35,9.11,9.59,9.9,9.55,9.7,10.32,10.85,9.56,9.78,10.18,10.78,SIDEWAYS,SIDEWAYS,DOWNTREND,44.9016,-0.0706,0.0206,LOW,-16.1871,57.7732,-49.0196,14910.0,15286.67,20520.0,137832.1,143070.93,191925.35,Black Marubozu,None,Three Black Crows,-0.1536,-0.0176,-0.0011,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.22,0.0,1.09,0.0,2019-09-16
12,140,8.15,0.0,0.0,8.15,8.15,8.15,0.0,15.0,7.0,7.92,7.4,9.48,9.8,8.87,9.3,9.99,10.58,8.69,9.23,9.78,10.48,DOWNTREND,DOWNTREND,DOWNTREND,34.6449,-0.3272,0.0355,NEUTRAL,-74.1848,46.3089,-53.629,20000.0,13540.0,10505.0,153212.2,104054.47,81373.05,White Marubozu,Bullish Harami,Three White Soldiers,-0.2723,-0.1403,0.0,0.0,0.0,0.0,-116150.0,7020900.0,0.23,-0.7386,35.43,0.0,0.93,0.0,2019-10-16
13,138,9.66,0.01,0.001,9.22,9.22,9.66,0.0,15.0,9.0,9.22,9.11,9.73,10.1,9.56,9.82,10.44,10.96,9.58,9.87,10.29,10.88,DOWNTREND,SIDEWAYS,DOWNTREND,50.5484,-0.1217,0.0263,LOW,-6.5920000000000005,59.6899,-23.2558,21460.0,19313.33,18825.0,201849.9,182157.6,178282.2,White Marubozu,None,Three White Soldiers,-0.1375,0.0277,0.001,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,42.0,0.0,1.11,0.0,2019-08-28
14,138,9.48,0.0,0.0,9.2,9.2,9.48,0.0,15.0,9.0,9.12,9.1,9.54,9.9,9.45,9.6,10.22,10.76,9.47,9.68,10.08,10.68,DOWNTREND,SIDEWAYS,DOWNTREND,49.0879,-0.0801,0.0229,LOW,-12.8134,66.5849,-25.0,1850.0,10713.33,9135.0,17196.8,99000.73,84412.2,White Marubozu,Bullish Harami,Three White Soldiers,-0.1536,-0.0176,0.0304,0.0,0.0,0.0,-116150.0,7020900.0,0.23,-0.7386,41.22,0.0,1.09,0.0,2019-09-30
15,144,8.3,0.0,0.0,8.3,8.3,8.3,0.0,15.0,7.0,7.58,7.3,8.52,9.48,8.0,8.51,9.17,10.13,8.03,8.44,9.07,9.93,DOWNTREND,DOWNTREND,DOWNTREND,54.9266,-0.1887,0.0222,LOW,131.309,68.0556,0.0,12260.0,9586.67,15375.0,95047.7,74695.8,121817.05,White Marubozu,Bullish Harami,None,-0.2589,0.0506,0.0921,0.0,0.0,-948000.0,-948000.0,6020768.0,0.49,0.0208,16.94,0.0,0.93,0.0,2019-12-10
16,138,9.66,0.01,0.001,9.22,9.22,9.66,0.0,15.0,9.0,9.22,9.11,9.73,10.1,9.56,9.82,10.44,10.96,9.58,9.87,10.29,10.88,DOWNTREND,SIDEWAYS,DOWNTREND,50.5484,-0.1217,0.0263,LOW,-6.5920000000000005,59.6899,-23.2558,21460.0,19313.33,18825.0,201849.9,182157.6,178282.2,White Marubozu,None,Three White Soldiers,-0.1375,0.0277,0.001,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,42.0,0.0,1.11,0.0,2019-08-29
17,141,8.0,0.0,0.0,8.0,8.0,8.0,-926400.0,15.0,7.0,7.59,7.4,8.15,9.48,8.35,9.07,9.76,10.45,8.33,8.93,9.54,10.31,DOWNTREND,DOWNTREND,DOWNTREND,34.8902,-0.3744,0.0307,NEUTRAL,-46.2316,52.2495,-29.2929,18660.0,24453.33,18895.0,148907.6,189967.93,147580.2,White Marubozu,Bullish Harami,None,-0.2857,-0.1561,0.0127,-926400.0,-926400.0,-926400.0,-926400.0,6055560.0,0.23,-0.7386,34.78,0.0,0.92,0.0,2019-11-06
18,144,8.19,-0.1,-0.0121,7.78,7.78,8.19,0.0,15.0,7.0,7.58,7.3,8.3,8.76,8.02,8.45,9.13,10.11,8.07,8.43,9.04,9.89,DOWNTREND,DOWNTREND,DOWNTREND,51.7357,-0.1486,0.0285,LOW,24.0383,94.5946,-14.8649,11970.0,9380.0,8910.0,92742.5,72999.0,70138.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.2688,0.0367,0.0776,0.0,0.0,-948000.0,-948000.0,6020768.0,0.49,0.0208,16.71,0.0,0.92,0.0,2019-12-12
19,138,9.6,-0.03,-0.0031,9.55,9.55,9.6,0.0,15.0,9.0,9.41,9.11,9.66,10.0,9.56,9.78,10.4,10.92,9.59,9.84,10.25,10.84,DOWNTREND,SIDEWAYS,DOWNTREND,48.79600000000001,-0.0966,0.0276,LOW,42.4597,81.3582,-17.8082,22230.0,26893.33,22830.0,207942.0,251457.53,213899.2,White Marubozu,Bullish Harami,Three White Soldiers,-0.1429,-0.0052,-0.0052,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.74,0.0,1.1,0.0,2019-09-04
20,138,9.59,-0.01,-0.001,9.59,9.59,9.59,0.0,15.0,9.0,9.4,9.11,9.66,10.0,9.56,9.76,10.38,10.91,9.59,9.83,10.24,10.83,DOWNTREND,SIDEWAYS,DOWNTREND,48.4795,-0.0884,0.0257,LOW,45.2174,83.105,-19.1781,22170.0,23793.33,21620.0,207381.1,222173.93,202499.7,White Marubozu,Bullish Harami,Three White Soldiers,-0.1438,-0.0062,-0.0062,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.7,0.0,1.1,0.0,2019-09-09
21,140,8.0,-0.15,-0.0184,8.15,8.0,8.15,0.0,15.0,7.0,7.4,7.4,8.15,9.54,8.72,9.23,9.93,10.55,8.58,9.15,9.71,10.43,DOWNTREND,DOWNTREND,DOWNTREND,32.3779,-0.3524,0.0326,NEUTRAL,-68.6015,44.3548,-59.6774,19250.0,13573.33,10550.0,146044.8,104168.87,81620.8,Black Marubozu,Bearish Engulfing,None,-0.2857,-0.1561,-0.0184,0.0,0.0,0.0,-3030.0,6981960.0,0.23,-0.7386,34.78,0.0,0.92,0.0,2019-10-18
22,138,9.23,-0.25,-0.0264,9.26,9.23,9.26,0.0,15.0,9.0,9.22,9.11,9.54,9.9,9.53,9.69,10.3,10.84,9.53,9.76,10.17,10.76,SIDEWAYS,SIDEWAYS,DOWNTREND,36.8794,-0.0722,0.0216,LOW,-157.4369,35.6998,-97.7273,15040.0,15313.33,18245.0,139032.3,143296.13,170412.0,Black Marubozu,None,Three Black Crows,-0.1759,-0.0435,-0.0274,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,40.13,0.0,1.06,0.0,2019-09-17
23,138,9.73,0.09,0.0093,9.65,9.65,9.73,0.0,15.0,9.0,9.22,9.2,9.8,10.1,9.61,9.95,10.53,11.05,9.68,9.97,10.39,10.95,SIDEWAYS,DOWNTREND,DOWNTREND,49.7079,-0.1253,0.0249,LOW,88.0696,80.2326,-15.1163,26770.0,23633.33,22600.0,252913.1,224160.73,215012.45,White Marubozu,None,None,-0.1312,0.0351,0.0318,0.0,0.0,-3030.0,-116150.0,7044080.0,0.23,-0.7386,42.3,0.0,1.11,0.0,2019-08-15
24,141,8.52,0.31,0.0378,8.5,8.5,8.52,0.0,15.0,7.0,7.65,7.4,9.48,9.8,8.19,8.98,9.65,10.39,8.31,8.85,9.47,10.25,DOWNTREND,DOWNTREND,DOWNTREND,51.9209,-0.3367,0.0273,LOW,82.8695,94.1176,0.0,20590.0,15806.67,20295.0,164976.6,126716.13,159094.4,White Marubozu,None,Three White Soldiers,-0.2393,0.065,0.065,-948000.0,-948000.0,-948000.0,-948000.0,6033960.0,0.49,0.0208,17.39,0.0,0.96,0.0,2019-11-13
25,138,9.49,-0.01,-0.0011,9.5,9.49,9.5,0.0,15.0,9.0,9.22,9.11,9.6,9.9,9.56,9.72,10.34,10.87,9.57,9.79,10.2,10.79,SIDEWAYS,SIDEWAYS,DOWNTREND,45.2674,-0.0735,0.0221,LOW,-14.245,63.6108,-46.1538,15390.0,20420.0,21640.0,142257.4,190339.8,202704.2,Black Marubozu,None,Three Black Crows,-0.1527,-0.0166,-0.0104,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.26,0.0,1.09,0.0,2019-09-13
26,142,7.9,0.0,0.0,7.9,7.9,8.0,0.0,15.0,7.0,7.59,7.4,8.3,8.76,8.05,8.76,9.42,10.26,8.15,8.64,9.27,10.1,SIDEWAYS,DOWNTREND,DOWNTREND,40.3404,-0.24100000000000002,0.0264,LOW,-57.4591,49.1803,-50.8197,5850.0,15520.0,12255.0,47533.5,124293.73,98220.55,Gravestone Doji,None,None,-0.2946,-0.0125,0.0,0.0,-948000.0,-948000.0,-948000.0,6033960.0,0.49,0.0208,16.12,0.0,0.89,0.0,2019-11-26
27,144,9.0,0.0,0.0,9.0,9.0,9.0,0.0,15.0,7.0,7.96,7.58,9.48,9.8,8.09,8.4,9.09,10.09,8.25,8.46,9.02,9.86,UPTREND,DOWNTREND,DOWNTREND,67.8102,-0.0614,0.031,NEUTRAL,283.3532,95.045,0.0,13700.0,11340.0,9565.0,108229.2,89521.6,75639.2,White Marubozu,Bullish Harami,Three White Soldiers,-0.1964,0.1392,0.0989,-778.0,-778.0,-948778.0,-948778.0,6019990.0,0.49,0.0208,18.37,0.0,1.01,0.0,2019-12-17
28,141,8.0,0.1,0.0127,7.9,7.3,8.0,0.0,15.0,7.0,7.59,7.4,8.08,9.48,8.42,9.1,9.8,10.47,8.36,8.96,9.57,10.33,DOWNTREND,DOWNTREND,DOWNTREND,34.8902,-0.3772,0.0331,NEUTRAL,-77.2455,40.7773,-50.2488,7290.0,16533.33,12900.0,57936.7,126705.8,99627.45,Hammer,Bullish Engulfing,None,-0.2857,-0.1561,0.0127,0.0,0.0,0.0,-3030.0,6981960.0,0.23,-0.7386,34.78,0.0,0.92,0.0,2019-10-29
29,138,9.48,0.0,0.0,9.2,9.2,9.48,0.0,15.0,9.0,9.12,9.1,9.54,9.9,9.45,9.6,10.22,10.76,9.47,9.68,10.08,10.68,DOWNTREND,SIDEWAYS,DOWNTREND,49.0879,-0.0801,0.0229,LOW,-12.8134,66.5849,-25.0,1850.0,10713.33,9135.0,17196.8,99000.73,84412.2,White Marubozu,Bullish Harami,Three White Soldiers,-0.1536,-0.0176,0.0304,0.0,0.0,0.0,-116150.0,7020900.0,0.23,-0.7386,41.22,0.0,1.09,0.0,2019-09-26
30,141,8.0,0.1,0.0127,7.9,7.3,8.0,0.0,15.0,7.0,7.59,7.4,8.08,9.48,8.42,9.1,9.8,10.47,8.36,8.96,9.57,10.33,DOWNTREND,DOWNTREND,DOWNTREND,34.8902,-0.3772,0.0331,NEUTRAL,-77.2455,40.7773,-50.2488,7290.0,16533.33,12900.0,57936.7,126705.8,99627.45,Hammer,Bullish Engulfing,None,-0.2857,-0.1561,0.0127,0.0,0.0,0.0,-3030.0,6981960.0,0.23,-0.7386,34.78,0.0,0.92,0.0,2019-10-30
31,140,8.15,0.15,0.0188,7.84,7.84,8.15,0.0,15.0,7.0,7.4,7.4,8.58,9.65,9.09,9.4,10.09,10.65,8.88,9.37,9.88,10.55,DOWNTREND,DOWNTREND,DOWNTREND,34.6449,-0.2531,0.0444,NEUTRAL,-128.5075,38.7568,-54.0,19130.0,13246.67,17045.0,146252.8,102160.73,142272.7,White Marubozu,None,None,-0.2723,-0.1403,0.0037,0.0,0.0,0.0,-116150.0,7020900.0,0.23,-0.7386,35.43,0.0,0.93,0.0,2019-10-10
32,142,7.9,0.0,0.0,7.9,7.9,7.9,0.0,15.0,7.0,7.59,7.4,8.3,9.48,8.06,8.8,9.45,10.28,8.17,8.67,9.3,10.12,SIDEWAYS,DOWNTREND,DOWNTREND,40.3404,-0.2491,0.0275,LOW,-80.9185,51.9126,-50.8197,17340.0,15300.0,12315.0,139503.5,122569.07,98720.1,White Marubozu,Tweezer Bottoms,None,-0.2946,-0.0125,-0.0125,0.0,-948000.0,-948000.0,-948000.0,6033960.0,0.49,0.0208,16.12,0.0,0.89,0.0,2019-11-22
33,138,9.5,-0.09,-0.0094,9.59,9.5,9.59,0.0,15.0,9.0,9.36,9.11,9.65,10.1,9.56,9.74,10.37,10.89,9.58,9.82,10.23,10.82,DOWNTREND,SIDEWAYS,DOWNTREND,45.6123,-0.0822,0.0248,LOW,6.9592,77.1689,-31.5068,16420.0,23786.67,21595.0,151627.6,222102.8,202270.35,Black Marubozu,Bearish Engulfing,None,-0.1518,-0.0155,-0.0094,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.3,0.0,1.09,0.0,2019-09-10
34,141,8.0,0.0,0.0,8.0,8.0,8.0,-926400.0,15.0,7.0,7.59,7.4,8.15,9.48,8.35,9.07,9.76,10.45,8.33,8.93,9.54,10.31,DOWNTREND,DOWNTREND,DOWNTREND,34.8902,-0.3744,0.0307,NEUTRAL,-46.2316,52.2495,-29.2929,18660.0,24453.33,18895.0,148907.6,189967.93,147580.2,White Marubozu,Bullish Harami,None,-0.2857,-0.1561,0.0127,-926400.0,-926400.0,-926400.0,-926400.0,6055560.0,0.23,-0.7386,34.78,0.0,0.92,0.0,2019-11-04
35,139,7.82,-0.3,-0.0369,8.0,7.82,8.0,0.0,15.0,7.0,7.4,7.4,9.48,9.8,9.25,9.47,10.14,10.7,9.06,9.48,9.95,10.6,DOWNTREND,SIDEWAYS,DOWNTREND,27.2053,-0.1761,0.0486,NEUTRAL,-241.8929,35.2242,-68.3398,17190.0,11926.67,16050.0,130984.1,91765.67,134408.1,Black Marubozu,None,None,-0.3018,-0.1751,-0.0369,0.0,0.0,0.0,-116150.0,7020900.0,0.23,-0.7386,34.0,0.0,0.9,0.0,2019-10-07
36,141,8.0,0.0,0.0,8.0,8.0,8.0,0.0,15.0,7.0,7.59,7.4,8.52,9.48,8.05,8.92,9.58,10.36,8.26,8.78,9.41,10.2,SIDEWAYS,DOWNTREND,DOWNTREND,40.247,-0.3044,0.0294,LOW,-24.7633,71.5847,-42.623000000000005,21180.0,14940.0,20215.0,169684.6,119790.07,157864.7,White Marubozu,Bullish Harami,Three White Soldiers,-0.2857,0.0,0.0,-21600.0,-948000.0,-948000.0,-948000.0,6033960.0,0.49,0.0208,16.33,0.0,0.9,0.0,2019-11-15
37,141,8.0,-0.52,-0.061,8.0,8.0,8.0,0.0,15.0,7.0,7.59,7.4,8.52,9.48,8.12,8.95,9.61,10.38,8.28,8.82,9.44,10.23,DOWNTREND,DOWNTREND,DOWNTREND,40.247,-0.3195,0.0317,NEUTRAL,-38.7906,85.7923,-42.623000000000005,21030.0,15140.0,20110.0,168487.6,121382.8,157098.1,White Marubozu,None,Three White Soldiers,-0.2857,0.0,0.0,-948000.0,-948000.0,-948000.0,-948000.0,6033960.0,0.49,0.0208,16.33,0.0,0.9,0.0,2019-11-14
38,138,9.63,-0.02,-0.0021,9.23,9.22,9.63,0.0,15.0,9.0,9.22,9.11,9.66,10.09,9.57,9.8,10.42,10.93,9.59,9.85,10.27,10.85,SIDEWAYS,SIDEWAYS,DOWNTREND,49.6998,-0.1052,0.028999999999999998,LOW,-12.963,79.5423,-13.6986,29900.0,28366.67,22820.0,278556.5,265636.8,213805.45,White Long Day,None,Three White Soldiers,-0.1402,-0.0021,-0.0021,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.87,0.0,1.1,0.0,2019-09-03
39,140,8.15,0.0,0.0,8.15,8.15,8.15,0.0,15.0,7.0,7.82,7.4,9.48,9.8,8.94,9.33,10.03,10.6,8.75,9.28,9.81,10.5,DOWNTREND,DOWNTREND,DOWNTREND,34.6449,-0.3081,0.0383,NEUTRAL,-84.4179,46.1852,-53.629,19410.0,13153.33,10230.0,148416.6,100920.93,79167.3,White Marubozu,Bullish Harami,Three White Soldiers,-0.2723,-0.1403,0.0,0.0,0.0,0.0,-116150.0,7020900.0,0.23,-0.7386,35.43,0.0,0.93,0.0,2019-10-15
40,138,9.5,0.0,0.0,9.59,9.5,9.59,0.0,15.0,9.0,9.36,9.11,9.63,10.1,9.57,9.73,10.35,10.88,9.57,9.81,10.21,10.8,DOWNTREND,SIDEWAYS,DOWNTREND,45.6123,-0.0773,0.0237,LOW,3.4865,72.6027,-31.5068,15770.0,24066.67,21665.0,145751.6,224757.13,202951.85,Black Marubozu,Bearish Harami,None,-0.1518,-0.0155,-0.0094,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.3,0.0,1.09,0.0,2019-09-11
41,141,8.0,0.0,0.0,8.0,8.0,8.0,-926400.0,15.0,7.0,7.59,7.4,8.15,9.48,8.35,9.07,9.76,10.45,8.33,8.93,9.54,10.31,DOWNTREND,DOWNTREND,DOWNTREND,34.8902,-0.3744,0.0307,NEUTRAL,-46.2316,52.2495,-29.2929,18660.0,24453.33,18895.0,148907.6,189967.93,147580.2,White Marubozu,Bullish Harami,None,-0.2857,-0.1561,0.0127,-926400.0,-926400.0,-926400.0,-926400.0,6055560.0,0.23,-0.7386,34.78,0.0,0.92,0.0,2019-10-31
42,141,7.9,0.0,0.0,8.0,7.9,8.0,0.0,15.0,7.0,7.88,7.4,8.15,9.48,8.48,9.13,9.83,10.48,8.4,9.0,9.6,10.36,DOWNTREND,DOWNTREND,DOWNTREND,31.3079,-0.3762,0.0292,LOW,-62.5921,36.0215,-63.7097,7340.0,16146.67,12265.0,58483.8,124398.93,94733.95,Black Marubozu,Tweezer Tops,None,-0.2946,-0.1667,-0.0125,0.0,0.0,0.0,-3030.0,6981960.0,0.23,-0.7386,34.35,0.0,0.9,0.0,2019-10-25
43,138,9.65,0.42,0.0455,9.23,9.23,9.65,0.0,15.0,9.0,9.22,9.11,9.73,10.1,9.56,9.83,10.45,10.98,9.57,9.88,10.31,10.89,SIDEWAYS,SIDEWAYS,DOWNTREND,50.2986,-0.1271,0.0248,LOW,-10.2366,43.0233,-24.4186,21450.0,19333.33,18805.0,201791.7,182353.47,178105.0,White Marubozu,None,Three White Soldiers,-0.1384,0.0266,0.0466,0.0,0.0,-3030.0,-116150.0,7044080.0,0.23,-0.7386,41.96,0.0,1.11,0.0,2019-08-22
44,141,8.0,0.0,0.0,8.0,8.0,8.0,0.0,15.0,7.0,7.6,7.4,8.15,9.48,8.29,9.04,9.73,10.43,8.3,8.89,9.51,10.29,DOWNTREND,DOWNTREND,DOWNTREND,34.8902,-0.3686,0.0285,LOW,-43.5966,67.6038,-17.6471,18500.0,15106.67,18865.0,147599.1,120722.73,147284.85,White Marubozu,Bullish Harami,None,-0.2857,0.0,0.0,-926400.0,-926400.0,-926400.0,-926400.0,6055560.0,0.23,-0.7386,34.78,0.0,0.92,0.0,2019-11-08
45,141,7.9,0.0,0.0,8.0,7.9,8.0,0.0,15.0,7.0,7.88,7.4,8.15,9.48,8.48,9.13,9.83,10.48,8.4,9.0,9.6,10.36,DOWNTREND,DOWNTREND,DOWNTREND,31.3079,-0.3762,0.0292,LOW,-62.5921,36.0215,-63.7097,7340.0,16146.67,12265.0,58483.8,124398.93,94733.95,Black Marubozu,Tweezer Tops,None,-0.2946,-0.1667,-0.0125,0.0,0.0,0.0,-3030.0,6981960.0,0.23,-0.7386,34.35,0.0,0.9,0.0,2019-10-24
46,138,9.45,0.22,0.0238,9.45,9.45,9.45,0.0,15.0,9.0,9.23,9.11,9.54,9.9,9.52,9.67,10.29,10.83,9.52,9.75,10.15,10.75,SIDEWAYS,SIDEWAYS,DOWNTREND,46.0192,-0.0729,0.0212,LOW,-16.4623,35.1753,-47.7273,14960.0,11440.0,18210.0,138292.6,105743.93,170071.25,White Marubozu,None,None,-0.1562,-0.0207,-0.0042,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.09,0.0,1.08,0.0,2019-09-18
47,138,9.65,-0.01,-0.001,9.23,9.22,9.65,0.0,15.0,9.0,9.22,9.11,9.66,10.1,9.57,9.81,10.43,10.95,9.59,9.86,10.28,10.87,DOWNTREND,SIDEWAYS,DOWNTREND,50.2762,-0.1139,0.0277,LOW,-9.8091,75.969,-24.4186,33270.0,27000.0,24465.0,310829.2,253064.8,230259.85,White Long Day,Bullish Harami,Three White Soldiers,-0.1384,0.0266,0.0,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.96,0.0,1.11,0.0,2019-09-02
48,138,9.49,-0.01,-0.0011,9.5,9.49,9.5,0.0,15.0,9.0,9.22,9.11,9.6,9.9,9.56,9.72,10.34,10.87,9.57,9.79,10.2,10.79,SIDEWAYS,SIDEWAYS,DOWNTREND,45.2674,-0.0735,0.0221,LOW,-14.245,63.6108,-46.1538,15390.0,20420.0,21640.0,142257.4,190339.8,202704.2,Black Marubozu,None,Three Black Crows,-0.1527,-0.0166,-0.0104,0.0,0.0,0.0,-116150.0,7044080.0,0.23,-0.7386,41.26,0.0,1.09,0.0,2019-09-12
